player_id,full_name,team_name,team_id,element_type,now_cost_millions,expected_points,start_probability,appearance_probability,availability_this_round,availability_next_round,status_availability,fixture_multiplier,cameo_points,confidence_score,confidence_level,expected_points_lower_80,expected_points_upper_80,official_ep_next,price_change_percent,starting,bench,captain,next_fixture
1,David Raya Martín,Arsenal,1,1,6.0,3.5361155319468196,0.8705413272142619,0.9164492517668973,,,1.0,1.0,0.5,88.7,High,2.83,4.243,4.0,0,1,0,0,COV (H)
356,Virgil van Dijk,Liverpool,14,2,6.5,4.2522098536487185,0.9437319003005362,0.9553495883306238,,,1.0,1.0,0.8766570605187319,90.3,High,3.496,5.008,3.1,0,1,0,0,NEW (A)
418,Harry Maguire,Man Utd,16,2,5.0,3.684123924177896,0.7882898157960587,0.8514438779075879,,,1.0,1.0,0.8766570605187319,83.7,High,2.604,4.764,2.2,0,1,0,0,HUL (A)
229,James Tarkowski,Everton,9,2,6.0,3.609216758286717,0.9218833618097417,0.9636040425513819,,,1.0,1.0,0.8766570605187319,92.9,High,3.204,4.015,2.8,0,1,0,0,CRY (H)
533,Nordi Mukiele,Sunderland,20,2,5.5,3.53328588854147,0.8823108475888134,0.9457637757344793,,,1.0,1.0,0.8766570605187319,93.3,High,3.251,3.816,2.5,0,1,0,0,IPS (A)
426,Bruno Borges Fernandes,Man Utd,16,3,12.0,7.314607004900584,0.9343771740079548,0.9583663687805309,,,1.0,1.0,1.3505723630417008,80.7,High,3.985,10.645,4.0,0,1,0,1,HUL (A)
427,Bryan Mbeumo,Man Utd,16,3,8.0,4.696464542390352,0.792948171200874,0.9088410344470614,,,1.0,1.0,1.3505723630417008,80.1,High,2.817,6.576,2.8,0,1,0,0,HUL (A)
480,Morgan Gibbs-White,Nott'm Forest,18,3,8.0,4.549839431039972,0.9182704373999315,0.9488880800330626,,,1.0,1.0,1.3505723630417008,88.3,High,3.607,5.493,2.8,0,1,0,0,LEE (H)
368,Dominik Szoboszlai,Liverpool,14,3,7.0,4.42318291251553,0.9067876686620063,0.9624557890948222,,,1.0,1.0,1.3505723630417008,84.1,High,2.744,6.103,2.4,0,1,0,0,NEW (A)
95,Dango Ouattara,Brentford,4,3,6.5,3.916042093629345,0.9353053556784784,0.9648973604212671,,,1.0,1.0,1.3505723630417008,88.5,High,2.949,4.883,2.3,0,1,0,0,TOT (H)
55,Ollie Watkins,Aston Villa,2,4,8.0,6.620083280964844,0.946119988637522,0.9590009161770243,,,1.0,1.0,1.6201438848920864,80.5,High,2.976,10.264,2.5,0,1,0,0,BHA (A)
