player_id,full_name,team_name,team_id,element_type,now_cost_millions,expected_points,start_probability,confidence_score,confidence_level,expected_points_lower_80,expected_points_upper_80,starting,bench,captain,next_fixture
366,Alisson Becker,Liverpool,12,1,5.4,5.239283369566067,0.9046235829977811,90.7,High,4.618,5.861,1,0,0,LEE (H)
291,James Tarkowski,Everton,9,2,5.8,5.38372063782284,0.9412421136664866,92.5,High,4.859,5.909,1,0,0,NFO (A)
683,Omar Alderete,Sunderland,17,2,4.1,4.9599660754064505,0.9431656093458662,84.0,High,4.578,5.342,1,0,0,MCI (H)
407,Matheus Nunes,Man City,13,2,5.3,4.555022909565216,0.9609634590242155,95.4,High,4.277,4.833,1,0,0,SUN (A)
403,Joško Gvardiol,Man City,13,2,5.8,4.53385673472145,0.8503738655725708,92.9,High,4.264,4.803,1,0,0,SUN (A)
382,Florian Wirtz,Liverpool,12,3,8.3,6.48251587855937,0.8340845775910033,94.6,High,6.344,6.621,1,0,1,LEE (H)
16,Bukayo Saka,Arsenal,1,3,10.0,5.911740469774417,0.8178547527949551,87.1,High,5.106,6.717,1,0,0,AVL (H)
390,Ryan Gravenberch,Liverpool,12,3,5.4,5.47023608795994,0.9184050263482356,95.6,High,5.275,5.665,1,0,0,LEE (H)
82,Antoine Semenyo,Man City,13,3,8.0,5.35724162959101,0.952086313556779,92.1,High,4.764,5.95,1,0,0,SUN (A)
450,Matheus Santos Carneiro da Cunha,Man Utd,14,3,8.1,4.844168286881389,0.8003767171233533,84.5,High,3.784,5.904,1,0,0,WOL (H)
691,Dominic Calvert-Lewin,Leeds,11,4,5.8,6.119846273352723,0.828154476677157,82.7,High,4.559,7.681,1,0,0,LIV (A)
