player_id,full_name,team_name,team_id,element_type,now_cost_millions,expected_points,start_probability,appearance_probability,availability_this_round,availability_next_round,status_availability,fixture_multiplier,cameo_points,confidence_score,confidence_level,expected_points_lower_80,expected_points_upper_80,starting,bench,captain,next_fixture
1,David Raya Martín,Arsenal,1,1,6.0,3.852513344539618,0.8945362601799725,0.9393039760014255,,,1.0,1.0,0.5,88.9,High,3.09,4.615,1,0,0,CHE (H)
356,Virgil van Dijk,Liverpool,14,2,6.5,5.403440967547299,0.8827470023076796,0.9490281781036256,,,1.0,1.0,0.8903559127439724,87.1,High,4.385,6.422,1,0,0,IPS (A)
4,Gabriel dos Santos Magalhães,Arsenal,1,2,8.0,4.552701319876903,0.8112934740695572,0.902275002362017,,,1.0,1.0,0.8903559127439724,89.6,High,4.083,5.023,1,0,0,CHE (H)
229,James Tarkowski,Everton,9,2,6.0,4.377613912736048,0.9132493505477222,0.9658961558713052,,,1.0,1.0,0.8903559127439724,94.5,High,4.117,4.638,1,0,0,MUN (H)
499,Pedro Porro Sauceda,Spurs,19,2,5.5,4.108583411771429,0.8445843717244885,0.8754620597797852,,,1.0,1.0,0.8903559127439724,88.0,High,3.387,4.83,1,0,0,NFO (A)
426,Bruno Borges Fernandes,Man Utd,16,3,12.0,8.876696007708853,0.9149232402313356,0.9465572546175616,,,1.0,1.0,1.3448975451410021,82.5,High,6.468,11.285,1,0,1,EVE (A)
368,Dominik Szoboszlai,Liverpool,14,3,7.0,5.150416087577392,0.877596197668702,0.9629168265246117,,,1.0,1.0,1.3448975451410021,94.9,High,4.976,5.325,1,0,0,IPS (A)
124,Pascal Groß,Brighton,5,3,5.5,4.932534335838,0.905789858285255,0.9725433023659991,,,1.0,1.0,1.3448975451410021,95.7,High,4.776,5.089,1,0,0,LEE (H)
427,Bryan Mbeumo,Man Utd,16,3,8.0,4.583959663680624,0.7552641817648886,0.9096830607510289,,,1.0,1.0,1.3448975451410021,88.0,High,4.086,5.082,1,0,0,EVE (A)
525,Mateus Fernandes,Spurs,19,3,6.0,4.165140721896045,0.8569840557112263,0.9512460919046061,,,1.0,1.0,1.3448975451410021,85.1,High,2.99,5.34,1,0,0,NFO (A)
55,Ollie Watkins,Aston Villa,2,4,8.0,8.017026433051422,0.8880785413655734,0.9400236888259494,,,1.0,1.0,1.6344725111441307,85.3,High,6.577,9.457,1,0,0,HUL (A)
